apple,microsoft
0.110491,0.088542
0.110491,0.097222
0.116071,0.100694
0.116071,0.102431
0.119978,0.099826
0.125,0.09809
0.126116,0.095486
0.123326,0.092882
0.11942,0.090278
0.124442,0.092014
0.126116,0.094618
0.126116,0.096354
0.126116,0.095486
0.121652,0.094618
0.121652,0.096354
0.120536,0.096354
0.11942,0.096354
0.121652,0.094618
0.123326,0.095486
0.121094,0.097222
0.121652,0.098958
0.120536,0.099826
0.119978,0.100694
0.12221,0.100694
0.126116,0.104167
0.129464,0.105035
0.133371,0.101563
0.135603,0.101563
0.133371,0.099826
0.132254,0.10026
0.140067,0.111111
0.143973,0.117188
0.142857,0.118056
0.139509,0.114583
0.135045,0.111979
0.135045,0.110243
0.136161,0.110243
0.143973,0.110243
0.145647,0.110243
0.140625,0.110243
0.147321,0.111111
0.148996,0.110243
0.162388,0.111111
0.160714,0.111979
0.164621,0.111111
0.160714,0.111111
0.160714,0.111979
0.15904,0.110243
0.157924,0.109375
0.165179,0.107639
0.164063,0.107639
0.165179,0.107639
0.164621,0.111111
0.166295,0.114583
0.165179,0.118056
0.165179,0.121528
0.165737,0.118056
0.169085,0.118056
0.172991,0.117188
0.173549,0.118924
0.168527,0.118924
0.160714,0.113715
0.160714,0.113715
0.161272,0.113715
0.160714,0.109375
0.162388,0.109375
0.160156,0.109375
0.152902,0.110243
0.152902,0.109375
0.15625,0.108507
0.160714,0.108941
0.155134,0.110243
0.15625,0.109375
0.160156,0.107639
0.16183,0.104167
0.160156,0.103299
0.160156,0.106771
0.157924,0.106771
0.161272,0.107639
0.167969,0.108507
0.157366,0.104167
0.152902,0.101563
0.155134,0.097222
0.157924,0.094618
0.165737,0.094618
0.15625,0.09592
0.158482,0.09809
0.149554,0.100694
0.143973,0.102431
0.147321,0.103299
0.149554,0.103299
0.154576,0.106771
0.152902,0.105903
0.147879,0.107639
0.151228,0.108507
0.143973,0.105903
0.139509,0.103299
0.136161,0.099826
0.138951,0.098958
0.140067,0.09809
0.141183,0.09809
0.143415,0.097222
0.138951,0.096354
0.142299,0.095486
0.142299,0.09809
0.148996,0.099826
0.152902,0.102431
0.160714,0.103299
